date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2017-01-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-01-22,11.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-01-23,4.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-01-24,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-01-25,19.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-01-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-01-27,0.6,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-01-28,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-01-30,2.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-01-31,9.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-01,14.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-05,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-08,0.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-09,35.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-10,134.5,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-11,45.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-12,56.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-13,10.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-14,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-16,35.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-17,25.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-18,60.8,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-19,3.6,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-20,28.9,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-22,1.9,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-23,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-24,10.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-25,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-02-28,23.9,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-01,49.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-02,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-03,9.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-05,15.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-07,14.7,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-08,26.8,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-09,1.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-10,24.5,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-11,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-12,0.6,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-13,15.7,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-14,4.5,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-16,1.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-17,17.1,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-18,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-19,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-20,8.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-22,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-23,1.9,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-24,13.9,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-25,0.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-28,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-30,5.5,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-03-31,12.5,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-01,0.5,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-02,49.6,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-05,16.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-08,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-09,8.1,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-10,3.8,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-11,15.9,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-12,11.5,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-13,33.8,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-14,9.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-16,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-17,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-18,13.6,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-19,6.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-20,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-22,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-23,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-24,52.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-25,6.8,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-28,11.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-04-30,122.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-01,2.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-02,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-04,37.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-05,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-08,8.1,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-09,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-10,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-11,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-12,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-13,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-14,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-16,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-17,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-18,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-19,0.6,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-20,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-22,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-23,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-24,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-25,22.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-28,17.8,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-30,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-05-31,0.8,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-01,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-02,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-05,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-08,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-09,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-10,1.5,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-11,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-12,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-13,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-14,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-16,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-17,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-18,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-19,4.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-20,4.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-22,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-23,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-24,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-25,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-28,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-06-30,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-01,18.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-02,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-05,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-08,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-09,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-10,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-11,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-12,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-13,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-14,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-16,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-17,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-18,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-19,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-20,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-22,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-23,2.5,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-24,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-25,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-28,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-30,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-07-31,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-01,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-02,0.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-05,3.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-08,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-09,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-10,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-11,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-12,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-13,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-14,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-16,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-17,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-18,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-19,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-20,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-22,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-23,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-24,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-25,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-28,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-30,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-08-31,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-01,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-02,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-05,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-08,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-09,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-10,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-11,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-12,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-13,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-14,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-16,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-17,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-18,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-19,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-20,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-22,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-23,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-24,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-25,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-28,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-09-30,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-01,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-02,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-05,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-08,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-09,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-10,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-11,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-12,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-13,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-14,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-16,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-17,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-18,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-19,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-20,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-22,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-23,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-24,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-25,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-28,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-30,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-10-31,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-01,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-02,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-05,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-07,13.9,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-08,0.7,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-09,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-10,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-11,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-12,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-13,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-14,0.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-15,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-16,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-17,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-18,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-19,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-20,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-22,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-23,33.6,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-24,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-25,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-28,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-11-30,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-01,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-02,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-04,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-05,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-08,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-09,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-10,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-11,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-12,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-13,24.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-14,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-15,7.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-16,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-17,1.2,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-18,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-19,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-20,7.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-21,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-22,7.6,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-23,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-24,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-25,2.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-26,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-27,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-28,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-29,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-30,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2017-12-31,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-01,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-02,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-03,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-04,49.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-05,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-06,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-07,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-08,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-09,23.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-10,2.4,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-11,7.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-12,1.3,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-13,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
2018-01-14,0.0,34.1,26.7,11.1,4.2,29.38,71.75,0.0
